30.04.2017 2124:10:28-722:
alpha,1,2,3,4,5,6,7
92,73,73,73,73,73,73,73
93,73,73,73,73,73,73,73
94,73,73,73,73,73,73,73
95,73,73,73,73,73,73,73
96,73,73,73,73,73,73,73
97,73,73,73,73,73,73,73
98,73,73,73,73,73,73,73
99,73,73,73,73,73,73,73
100,73,73,73,73,73,73,73
101,73,73,73,73,73,73,73
102,73,73,73,73,73,73,73
103,73,73,73,73,73,73,73
104,73,73,73,73,73,73,73
105,73,73,73,73,73,73,73
106,73,73,73,73,73,73,73
107,73,73,73,73,73,73,73
108,73,73,73,73,73,73,73
109,73,73,73,73,73,73,73
110,73,73,73,73,73,73,73
111,73,73,73,73,73,73,73
112,73,73,73,73,73,73,73
113,73,73,73,73,73,73,73
114,73,73,73,73,73,73,73
115,73,73,73,73,73,73,73
116,73,73,73,73,73,73,73
117,73,73,73,73,73,73,73
118,73,73,73,73,73,73,73
119,73,73,73,73,73,73,73
120,73,73,123,123,123,123,123
121,73,73,123,123,123,123,123
122,73,73,123,123,123,123,123
123,73,73,123,123,123,123,123
124,73,73,123,123,123,123,123
125,73,73,123,123,123,123,123
126,73,73,123,123,123,123,123
127,73,73,123,123,123,123,123
128,73,73,123,123,123,123,123
129,73,73,123,123,123,123,123
130,73,73,123,123,123,123,123
131,73,73,123,123,123,123,123
132,73,73,123,123,123,123,123
133,73,73,123,123,123,123,123
134,73,73,123,123,123,123,123
135,73,73,123,123,123,123,123
136,73,73,123,123,123,123,123
137,73,73,123,123,123,123,123
138,73,73,123,123,123,123,123
139,73,73,123,123,123,123,123
140,73,73,123,123,123,123,123
141,73,73,123,123,123,123,123
142,73,73,123,123,123,123,123
143,73,73,123,123,123,123,123
144,73,73,123,123,123,123,123
145,73,73,123,123,123,123,123
146,73,73,123,123,123,123,123
147,73,73,123,123,123,123,123
148,73,73,123,123,123,123,123
149,73,73,123,123,123,123,123
150,73,73,123,123,123,123,123
151,73,73,123,123,123,123,123
152,73,73,123,123,123,123,123
153,232,232,232,232,232,232,232
154,232,232,232,232,232,232,232
155,232,232,232,232,232,232,232
